,Job_Id,Experience,Qualifications,Salary_Range,location,Country,latitude,longitude,Work_Type,Company_Size,Job_Posting_Date,Preference,Contact_Person,Contact,Job Title,Role,Job_Portal,Job_Description,Benefits,skills,Responsibilities,Company,Company_Profile
4752,105273840690649,2 to 8 Years,B.Tech,$55K-$93K,Sofia,Bulgaria,42.7339,25.4858,Full-Time,126828,2022-03-06,Female,David Smith,293.836.4513,Research Scientist,Research Analyst,Indeed,"Research Analysts conduct research, collect data, and analyze information to support business decision-making. They generate reports and recommendations based on their findings to aid in strategic planning.","{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}",Data collection and analysis Market research tools and techniques Survey design and analysis Qualitative and quantitative research methods Report writing and presentation skills,"Collect and compile data from various sources. Assist in the preparation of research proposals and project documentation. Support research activities, literature reviews, and data validation.",Amgen,"{""Sector"":""Healthcare"",""Industry"":""Pharmaceuticals"",""City"":""Thousand Oaks"",""State"":""California"",""Zip"":""91320"",""Website"":""www.amgen.com"",""Ticker"":""AMGN"",""CEO"":""Robert A. Bradway""}"
79682,2025513744541095,3 to 8 Years,B.Com,$58K-$110K,Ouagadougou,Burkina Faso,12.2383,-1.5616,Full-Time,48267,2021-12-19,Female,Jennifer Young,001-669-820-3344x6037,Social Media Coordinator,Content Creator,Indeed,"Create engaging and relevant content, such as articles, videos, or social media posts, to promote brands or products.","{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}","Content creation (e.g., writing, editing, graphic design, video production) Content marketing Social media management SEO optimization Creative storytelling Audience engagement Analytics and reporting Adaptability Communication skills Creativity","Create compelling and shareable content for social media platforms, including text, images, and videos. Collaborate with designers and photographers for visuals. Engage with the audience and respond to comments.",Magellan Financial Group,"{""Sector"":""Financial Services/Investment Management"",""Industry"":""Financial Services/Investment Management"",""City"":""Sydney"",""State"":""NSW"",""Zip"":""2000"",""Website"":""https://www.magellangroup.com.au/"",""Ticker"":""MFG"",""CEO"":""Brett Cairns""}"
323778,930878648224010,5 to 11 Years,BA,$62K-$103K,Brussels,Belgium,50.5039,4.4699,Contract,96420,2022-03-02,Male,Shane Jackson,908-729-4860x808,Customer Support Specialist,Customer Success Manager,Indeed,"Customer Success Managers focus on ensuring customer satisfaction and retention. They build relationships with clients, understand their needs, and work to maximize the value customers receive from products or services, ultimately driving customer success and loyalty.","{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}",Customer relationship management Onboarding and training Customer feedback analysis Retention strategies Cross-selling and upselling Strong communication and empathy Customer advocacy,"Build and maintain strong customer relationships, ensuring customer satisfaction and retention. Identify opportunities to upsell or cross-sell products or services. Gather and relay customer feedback to improve products.",Associated British Foods,"{""Sector"":""Food and Beverage"",""Industry"":""Food and Beverage"",""City"":""London"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""www.abf.co.uk"",""Ticker"":""ABF"",""CEO"":""George Weston""}"
345238,2784102061825931,3 to 15 Years,BBA,$55K-$102K,Nassau,"Bahamas, The",25.0343,-77.3963,Full-Time,41074,2022-03-15,Female,Samantha Bryant,341.521.3661x5138,Art Director,Art Curator,Indeed,"An Art Curator is responsible for managing and preserving a collection of artworks. They curate exhibitions, acquire new pieces, and educate the public about the art.","{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}",Art history and knowledge Art curation and exhibition planning Collections management Art market trends Cultural awareness,"Curate and manage art collections, exhibitions, and galleries. Research and select artworks for display. Collaborate with artists, collectors, and institutions.",Aramark,"{""Sector"":""Services"",""Industry"":""Diversified Outsourcing Services"",""City"":""Philadelphia"",""State"":""Pennsylvania"",""Zip"":""19103"",""Website"":""www.aramark.com"",""Ticker"":""ARMK"",""CEO"":""John J. Zillmer""}"
489169,876740280802368,1 to 11 Years,PhD,$61K-$91K,Porto-Novo,Benin,9.3077,2.3158,Contract,94537,2021-12-20,Male,Maureen Lucas,840-535-8143,Speech Therapist,Speech Pathologist,Indeed,"Speech Pathologists diagnose and treat speech, language, and swallowing disorders in patients of all ages. They develop personalized treatment plans to improve communication.","{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}",Speech pathology Articulation therapy Language disorders Speech assessment Therapy planning Communication skills,Diagnose and treat a wide range of speech and language disorders across age groups. Use assessment tools and therapeutic techniques. Help individuals improve their communication abilities.,Macquarie Group,"{""Sector"":""Financial Services"",""Industry"":""Financial Services"",""City"":""Sydney"",""State"":""NSW"",""Zip"":""2000"",""Website"":""https://www.macquarie.com/"",""Ticker"":""MQG"",""CEO"":""Shemara Wikramanayake""}"
564177,795844274320481,3 to 11 Years,M.Com,$56K-$100K,Ouagadougou,Burkina Faso,12.2383,-1.5616,Full-Time,14000,2022-03-11,Female,Brooke Garner,(966)907-1939x88345,Nurse Practitioner,Acute Care Nurse Practitioner,Indeed,"Acute Care Nurse Practitioners focus on managing acute and critical medical conditions, often working in hospitals or emergency care settings.","{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}",Acute care nursing Emergency medicine Critical care Diagnostic tests Treatment planning,"Specialize in acute care settings, managing complex medical conditions and critical illnesses. Collaborate with healthcare teams in hospital settings. Make critical medical decisions and interventions.",AbbVie,"{""Sector"":""Healthcare"",""Industry"":""Pharmaceuticals"",""City"":""North Chicago"",""State"":""Illinois"",""Zip"":""60064"",""Website"":""www.abbvie.com"",""Ticker"":""ABBV"",""CEO"":""Richard A. Gonzalez""}"
630208,58977625235452,4 to 13 Years,BBA,$59K-$104K,Ouagadougou,Burkina Faso,12.2383,-1.5616,Full-Time,48033,2022-02-17,Female,Jessica Todd,966-600-3356x940,Network Administrator,Network Security Analyst,Indeed,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.","{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}",Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail,"Manage and secure computer networks, including firewalls and intrusion detection systems. Monitor network traffic for security threats. Implement security policies and procedures.",Allstate,"{""Sector"":""Insurance"",""Industry"":""Insurance: Property and Casualty (Stock)"",""City"":""Northbrook"",""State"":""Illinois"",""Zip"":""60062"",""Website"":""www.allstate.com"",""Ticker"":""ALL"",""CEO"":""Tom Wilson""}"
634812,2951429346127717,1 to 12 Years,M.Com,$60K-$124K,Ouagadougou,Burkina Faso,12.2383,-1.5616,Contract,35921,2022-02-03,Male,Roger Marquez,+1-575-829-4513x3464,Environmental Engineer,Environmental Consultant,Indeed,"An Environmental Consultant assesses environmental impacts, provides regulatory compliance guidance, and develops strategies for sustainable practices and environmental protection.","{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}",Environmental assessments Regulatory compliance Environmental impact analysis,"Provide expertise on environmental regulations, assessments, and compliance. Conduct environmental impact assessments. Develop and implement environmental management plans.",Alcoa,"{""Sector"":""Metals"",""Industry"":""Metals"",""City"":""Pittsburgh"",""State"":""Pennsylvania"",""Zip"":""15212"",""Website"":""www.alcoa.com"",""Ticker"":""AA"",""CEO"":""Roy C. Harvey""}"
648058,2104968349954371,1 to 11 Years,PhD,$65K-$110K,Nassau,"Bahamas, The",25.0343,-77.3963,Full-Time,62933,2022-01-03,Female,Stephanie Campbell,001-253-305-0984,Financial Analyst,Investment Analyst,Indeed,"Investment Analysts analyze financial data and market trends to make informed investment recommendations. They research and assess investment opportunities, create financial models, and provide insights to guide investment decisions and portfolio management.","{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}",Financial analysis Investment evaluation Portfolio management Data analysis,"Analyze financial data, research investment opportunities, and provide recommendations for investment decisions. Monitor financial markets and economic trends. Prepare investment reports and presentations.",Andersons,"{""Sector"":""Agriculture"",""Industry"":""Food Production"",""City"":""Maumee"",""State"":""Ohio"",""Zip"":""43537"",""Website"":""www.andersonsinc.com"",""Ticker"":""ANDE"",""CEO"":""Patrick E. Bowe""}"
683708,2509696427091169,3 to 10 Years,B.Com,$62K-$114K,The City of Hamilton,Bermuda,32.3078,-64.7505,Full-Time,109551,2022-02-14,Female,Anthony Adams,4525151917,Civil Engineer,Water Resources Engineer,Indeed,"A Water Resources Engineer manages and develops water-related projects, such as dams, irrigation systems, and flood control measures, to ensure water resource sustainability.","{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}",Water resources engineering Hydrology and hydraulics Environmental impact assessment Water resource modeling software Watershed management,"Focus on water-related projects, such as flood control, water supply, and wastewater treatment. Design and manage water resource systems and infrastructure. Address water quality and conservation issues.",Alaska Air Group,"{""Sector"":""Airlines"",""Industry"":""Airlines"",""City"":""Seattle"",""State"":""Washington"",""Zip"":""98188"",""Website"":""www.alaskaair.com"",""Ticker"":""ALK"",""CEO"":""Benito Minicucci""}"
