,Job_Id,Experience,Qualifications,Salary_Range,location,Country,latitude,longitude,Work_Type,Company_Size,Job_Posting_Date,Preference,Contact_Person,Contact,Job_Title,Role,Job_Portal,Job_Description,Benefits,skills,Responsibilities,Company,Company_Profile
15471,989632334672540,3 to 14 Years,B.Tech,$60K-$118K,Ankara,Turkey,38.9637,35.2433,Full-Time,123194,2023-05-22,Male,Amanda Lopez,9377426540,Data Scientist,Data Engineer,Jobs2Careers,"Data Engineers design and maintain data pipelines, ensuring data availability and quality for analysis and reporting purposes.","{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}","Data integration ETL (Extract, Transform, Load) Big data technologies (e.g., Hadoop, Spark) Database management Data warehousing","Design, build, and maintain data pipelines and ETL (Extract, Transform, Load) processes. Ensure data accessibility and availability for analytics and reporting. Collaborate with data scientists and analysts.",Standard Chartered,"{""Sector"":""Financial Services"",""Industry"":""Banking"",""City"":""London"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""www.sc.com"",""Ticker"":""STAN"",""CEO"":""Bill Winters""}"
27227,2663917704086896,3 to 15 Years,PhD,$61K-$127K,"Capitol Hill, Saipan",Northern Mariana Islands,15.0979,145.6739,Full-Time,106875,2022-08-31,Male,Arthur Higgins,896-376-8622,Data Engineer,Data Architect,Snagajob,"A Data Architect designs and manages data infrastructure, ensuring data availability, security, and integrity while aligning data systems with business goals and requirements.","{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}",Data architecture design Database management systems Data modeling,Design data architecture and systems to meet business needs. Develop data models and database schemas. Ensure data security and compliance.,Lithia Motors,"{""Sector"":""Automotive"",""Industry"":""Automotive Retailing, Services"",""City"":""Medford"",""State"":""Oregon"",""Zip"":""97501"",""Website"":""www.lithiadriveway.com"",""Ticker"":""LAD"",""CEO"":""Bryan B. Deboer""}"
41270,943643635241228,5 to 11 Years,B.Tech,$58K-$100K,"Washington, D.C.",USA,37.0902,-95.7129,Full-Time,103787,2023-05-20,Male,Anthony Gonzales,+1-905-271-1314x06065,Data Scientist,Data Engineer,Dice,"Data Engineers design and maintain data pipelines, ensuring data availability and quality for analysis and reporting purposes.","{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}","Data integration ETL (Extract, Transform, Load) Big data technologies (e.g., Hadoop, Spark) Database management Data warehousing","Design, build, and maintain data pipelines and ETL (Extract, Transform, Load) processes. Ensure data accessibility and availability for analytics and reporting. Collaborate with data scientists and analysts.",LKQ,"{""Sector"":""Automotive Parts"",""Industry"":""Wholesalers: Diversified"",""City"":""Chicago"",""State"":""Illinois"",""Zip"":""60661"",""Website"":""www.lkqcorp.com"",""Ticker"":""LKQ"",""CEO"":""Dominick P. Zarcone""}"
63196,477161937453753,5 to 9 Years,B.Tech,$62K-$127K,Sanaa,Yemen,15.5527,48.5164,Full-Time,104517,2023-02-27,Male,Anthony Wright,5558307651,Data Scientist,Data Engineer,Internships.com,"Data Engineers design and maintain data pipelines, ensuring data availability and quality for analysis and reporting purposes.","{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}","Data integration ETL (Extract, Transform, Load) Big data technologies (e.g., Hadoop, Spark) Database management Data warehousing","Design, build, and maintain data pipelines and ETL (Extract, Transform, Load) processes. Ensure data accessibility and availability for analytics and reporting. Collaborate with data scientists and analysts.",Ross Stores,"{""Sector"":""Retail"",""Industry"":""Specialty Retailers: Apparel"",""City"":""Dublin"",""State"":""California"",""Zip"":""94568"",""Website"":""www.rossstores.com"",""Ticker"":""ROST"",""CEO"":""Barbara Rentler""}"
93713,939239043428924,3 to 9 Years,B.Tech,$61K-$104K,Nuku?alofa,Tonga,-21.1789,-175.1982,Full-Time,86694,2021-12-01,Male,Alicia Gonzalez,699-432-5936,Data Engineer,Big Data Engineer,LinkedIn,"A Big Data Engineer develops and manages big data solutions, including data storage, processing, and analysis platforms, to extract valuable insights and support data-driven decisions.","{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}","Big data technologies (Hadoop, Spark, etc.) Data processing and analysis Distributed computing","Work with large and complex datasets, using technologies like Hadoop and Spark. Develop and maintain big data solutions. Optimize data processing and storage for performance.",Jubilant Foodworks,"{""Sector"":""Restaurants"",""Industry"":""Food Services"",""City"":""Noida"",""State"":""Uttar Pradesh"",""Zip"":""201 301"",""Website"":""www.jubilantfoodworks.com"",""Ticker"":""JUBLFOOD"",""CEO"":""Pratik Pota""}"
134948,2261078410197472,4 to 12 Years,PhD,$55K-$95K,Philipsburg,Sint Maarten (Dutch part),18.0425,-63.0548,Full-Time,96634,2021-09-23,Male,Amy Scott,001-360-816-4278x3236,Digital Marketing Specialist,SEO Specialist,CareerBuilder,"SEO Specialists optimize websites for search engines to improve online visibility. They conduct keyword research, optimize content, and implement SEO strategies to increase organic traffic and rankings.","{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}","Search engine algorithms and ranking factors Keyword research and analysis On-page and off-page SEO optimization SEO tools (e.g., Google Analytics, SEMrush) SEO content strategy","Optimize websites for search engines (SEO), conduct keyword research, and improve online visibility and search rankings. Monitor and analyze SEO performance metrics. Implement SEO best practices and strategies.",WPP plc,"{""Sector"":""Advertising and Marketing"",""Industry"":""Advertising and Marketing"",""City"":""London"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""www.wpp.com"",""Ticker"":""WPP"",""CEO"":""Mark Read""}"
146621,1015809971586188,2 to 15 Years,M.Tech,$64K-$101K,Sarajevo,Bosnia and Herzegovina,43.9159,17.6791,Full-Time,84950,2023-04-10,Male,Andrew Barnett,+1-577-224-0006x150,Dental Hygienist,Dental Hygiene Educator,FlexJobs,A Dental Hygiene Educator teaches dental hygiene practices and oral health to students or the community. They promote preventive care and raise awareness about dental health.,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}",Dental hygiene knowledge Teaching and instructional skills Curriculum development Student assessment Clinical practice experience,Educate patients on oral hygiene practices and preventive care. Provide oral health instruction and advice. Develop and deliver educational programs.,Ford Motor,"{""Sector"":""Automotive"",""Industry"":""Motor Vehicles & Parts"",""City"":""Dearborn"",""State"":""Michigan"",""Zip"":""48126"",""Website"":""www.ford.com"",""Ticker"":""F"",""CEO"":""Jim Farley""}"
172710,1317189631396362,4 to 9 Years,B.Tech,$56K-$90K,Banjul,Gambia,13.4432,-15.3101,Full-Time,87764,2022-09-01,Male,Adam Robinson,445-978-1802x1803,Database Administrator,Database Analyst,Snagajob,"A Database Analyst examines and interprets data stored in databases. They generate reports, identify trends, and provide insights to support business decision-making.","{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}",Data analysis Database querying and reporting Data visualization SQL proficiency Data quality assurance,"Analyze and interpret database performance data, identifying areas for improvement. Troubleshoot database issues and optimize query performance. Generate reports and insights from database data.",V-Guard Industries,"{""Sector"":""Electrical Equipment"",""Industry"":""Electrical Equipment"",""City"":""Kochi"",""State"":""Kerala"",""Zip"":""682 017"",""Website"":""www.vguard.in"",""Ticker"":""VGUARD"",""CEO"":""Mithun K. Chittilappilly""}"
229448,2539185392932891,5 to 11 Years,M.Tech,$55K-$103K,Castries,St. Lucia,13.9094,-60.9789,Full-Time,132048,2022-09-29,Male,Amanda Randall,+1-403-778-8677x29745,Data Analyst,Data Scientist,USAJOBS,"Data Scientists use their expertise in data analysis and machine learning to extract valuable insights and predictions from data. They build and train models, conduct statistical analysis, and communicate findings to drive data-driven decision-making in the organization.","{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}","Machine learning algorithms and libraries (e.g., scikit-learn, TensorFlow, PyTorch) Statistical analysis and modeling Data preprocessing and cleaning Big data technologies (e.g., Hadoop, Spark) Data visualization Strong programming skills (Python, R)",Apply machine learning algorithms and statistical techniques to extract insights from large datasets. Develop predictive models. Conduct data experiments and A/B testing.,Ryder System,"{""Sector"":""Transportation"",""Industry"":""Transportation and Logistics"",""City"":""Miami"",""State"":""Florida"",""Zip"":""33178"",""Website"":""www.ryder.com"",""Ticker"":""R"",""CEO"":""Robert E. Sanchez""}"
264251,923111591554735,0 to 13 Years,PhD,$58K-$125K,Caracas,"Venezuela, RB",6.4238,-66.5897,Full-Time,90924,2023-03-09,Male,Allison Ramirez,944-769-7204x549,Dental Hygienist,Dental Hygiene Educator,SimplyHired,A Dental Hygiene Educator teaches dental hygiene practices and oral health to students or the community. They promote preventive care and raise awareness about dental health.,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}",Dental hygiene knowledge Teaching and instructional skills Curriculum development Student assessment Clinical practice experience,Educate patients on oral hygiene practices and preventive care. Provide oral health instruction and advice. Develop and deliver educational programs.,Pfizer,"{""Sector"":""Healthcare"",""Industry"":""Pharmaceuticals"",""City"":""New York"",""State"":""New York"",""Zip"":""10001"",""Website"":""www.pfizer.com"",""Ticker"":""PFE"",""CEO"":""Albert Bourla""}"
